source_ingredients,approval_date,source_ingredients_curie,source_ingredients_curie_label,llm_qc_comparison_col,id_correct,corrected_curie,approved_russia,corrected_curie_norm,corrected_curie_norm_label,alternate_ids
(3-oxandrost-4-ven-17beta-il) Propionate,,Error,Error,Drug 1: (3-oxandrost-4-ven-17beta-il) Propionate; Drug 2: Error,False,CHEBI:34184,True,CHEBI:34184,17beta-Hydroxyestr-4-en-3-one cyclopentanepropionate,"['CHEBI:34184', 'UNII:M21W049AQY', 'PUBCHEM.COMPOUND:237252', 'CAS:210-006-7', 'CAS:601-63-8', 'KEGG.COMPOUND:C14603', 'INCHIKEY:REWKEGSQGOSEES-FNKXXKKYSA-N']"
(Primrose of spring roots+thyme of ordinary grass) extract,,UNII:3Q9L08K71N,Evening primrose oil,Drug 1: (Primrose of spring roots+thyme of ordinary grass) extract; Drug 2: Evening primrose oil,False,UNII:3Q9L08K71N,True,UNII:3Q9L08K71N,Evening primrose oil,"['UNII:3Q9L08K71N', 'DRUGBANK:DB11358', 'MESH:C028498', 'UMLS:C0700602', 'RXCUI:203219', 'RXCUI:199575', 'UMLS:C0693125', 'RXCUI:282648', 'UMLS:C0936502', 'RXCUI:282649', 'UMLS:C0936503', 'RXCUI:331911', 'UMLS:C1128008', 'RXCUI:384843', 'UMLS:C1261618', 'RXCUI:384844', 'UMLS:C1261619', 'RXCUI:1158461', 'UMLS:C3212861', 'RXCUI:1158462', 'UMLS:C3212862']"
"1,3-dietilbenzimidazoli triiodide",,Error,Error,"Drug 1: 1,3-dietilbenzimidazoli triiodide; Drug 2: Error",False,PUBCHEM.COMPOUND:22768666,True,PUBCHEM.COMPOUND:22768666,Triiodide;hydrate,"['PUBCHEM.COMPOUND:22768666', 'INCHIKEY:ROLSNHWCHBWZOR-UHFFFAOYSA-N']"
2- (4-phenyl-2-oxso-1-pyrrolidinyl) acetamide,,Error,Error,Drug 1: 2- (4-phenyl-2-oxso-1-pyrrolidinyl) acetamide; Drug 2: Error,False,PUBCHEM.COMPOUND:49385,True,PUBCHEM.COMPOUND:49385,"Acetamide, N-(2-(2-oxo-1-pyrrolidinyl)ethyl)-","['PUBCHEM.COMPOUND:49385', 'CAS:62179-40-2', 'CAS:67129-40-2', 'INCHIKEY:YIDRCZQGTWNIHB-UHFFFAOYSA-N']"
"7-Brom-5- (ortho-chlorfenil) -2-3-dihydro-1n-1,4 benzodiazepine-2-OH",,Error,Error,"Drug 1: 7-Brom-5- (ortho-chlorfenil) -2-3-dihydro-1n-1,4 benzodiazepine-2-OH; Drug 2: Error",False,CHEBI:59514,True,CHEBI:59514,Cinolazepam,"['CHEBI:59514', 'UNII:68P0556B0U', 'PUBCHEM.COMPOUND:3033621', 'CHEMBL.COMPOUND:CHEMBL2104926', 'DRUGBANK:DB01594', 'MESH:C053781', 'CAS:75696-02-5', 'DrugCentral:656', 'HMDB:HMDB0015533', 'INCHIKEY:XAXMYHMKTCNRRZ-UHFFFAOYSA-N', 'UMLS:C0164835']"
A series of three -part grass,,Error,Error,Drug 1: A series of three -part grass; Drug 2: Error,False,CHEBI:209090,True,CHEBI:209090,grassystatin A,"['CHEBI:209090', 'PUBCHEM.COMPOUND:44255320', 'CHEMBL.COMPOUND:CHEMBL567893', 'MESH:C576631', 'GTOPDB:8674', 'INCHIKEY:JZYWSTGTBRHGTL-BIXXXADNSA-N']"
ALCIDAZ BETA,,Error,Error,Drug 1: ALCIDAZ BETA; Drug 2: Error,False,CHEBI:3077,True,CHEBI:3077,Betamethasone,"['CHEBI:3077', 'UNII:9842X06Q6M', 'PUBCHEM.COMPOUND:9782', 'CHEMBL.COMPOUND:CHEMBL632', 'DRUGBANK:DB00443', 'MESH:D001623', 'CAS:206-825-4', 'CAS:378-44-9', 'DrugCentral:348', 'GTOPDB:7061', 'HMDB:HMDB0014586', 'INCHIKEY:UREBDLICKHMUKA-DVTGEIKXSA-N', 'UMLS:C0005308', 'RXCUI:1514', 'CHEBI:3078', 'UNII:7BK02SCL3W', 'PUBCHEM.COMPOUND:65478', 'CHEMBL.COMPOUND:CHEMBL1200762', 'MESH:C028994', 'CAS:151-73-5', 'CAS:205-797-0', 'INCHIKEY:PLCQGRYPOISRTQ-LWCNAHDDSA-L', 'UMLS:C0700603', 'RXCUI:203220', 'CHEBI:31275', 'UNII:TI05AO53L7', 'PUBCHEM.COMPOUND:443967', 'CHEMBL.COMPOUND:CHEMBL1200538', 'MESH:C580789', 'CAS:213-578-6', 'DrugCentral:349', 'INCHIKEY:AKUJBENLRBOFTD-QZIXMDIESA-N', 'UMLS:C0005310', 'RXCUI:1516', 'CHEBI:31276', 'UNII:826Y60901U', 'PUBCHEM.COMPOUND:21800', 'CHEMBL.COMPOUND:CHEMBL1200384', 'MESH:C011175', 'CAS:227-005-2', 'DrugCentral:353', 'INCHIKEY:CIWBQSYVNNPZIQ-XYWKZLDCSA-N', 'UMLS:C0053523', 'RXCUI:19254', 'CHEBI:31277', 'UNII:9IFA5XM7R2', 'PUBCHEM.COMPOUND:16533', 'CHEMBL.COMPOUND:CHEMBL1497', 'MESH:D001624', 'CAS:2152-44-5', 'CAS:218-439-3', 'DrugCentral:354', 'INCHIKEY:SNHRLVCMMWUAJD-SUYDQAKGSA-N', 'UMLS:C0750848', 'RXCUI:227897', 'CHEBI:135798', 'UNII:877K0XW47A', 'PUBCHEM.COMPOUND:5282492', 'CHEMBL.COMPOUND:CHEMBL1200376', 'MESH:C015706', 'CAS:22298-29-9', 'CAS:244-897-9', 'DrugCentral:351', 'INCHIKEY:SOQJPQZCPBDOMF-YCUXZELOSA-N', 'UMLS:C0005311', 'RXCUI:1517', 'PUBCHEM.COMPOUND:146364', 'INCHIKEY:CIWBQSYVNNPZIQ-JCOVECCMSA-N', 'PUBCHEM.COMPOUND:546807', 'CHEMBL.COMPOUND:CHEMBL1449610', 'HMDB:HMDB0249160', 'INCHIKEY:CIWBQSYVNNPZIQ-UHFFFAOYSA-N', 'PUBCHEM.COMPOUND:45356876', 'INCHIKEY:CIWBQSYVNNPZIQ-GXPAWERTSA-N', 'PUBCHEM.COMPOUND:134460917', 'INCHIKEY:CIWBQSYVNNPZIQ-GYYYIZHWSA-N', 'PUBCHEM.COMPOUND:146159199', 'INCHIKEY:CIWBQSYVNNPZIQ-GBKLYXMFSA-N', 'RXCUI:47847', 'UMLS:C0108966', 'RXCUI:105389', 'UMLS:C0356423', 'RXCUI:197405', 'UMLS:C0688016', 'RXCUI:197407', 'UMLS:C0688020', 'RXCUI:197408', 'UMLS:C0688021', 'RXCUI:197409', 'UMLS:C0688022', 'RXCUI:213541', 'UMLS:C0716626', 'RXCUI:216427', 'UMLS:C0719719', 'RXCUI:216664', 'UMLS:C0719961', 'RXCUI:238920', 'UMLS:C0775571', 'RXCUI:240209', 'UMLS:C0777683', 'RXCUI:240571', 'UMLS:C0778272', 'RXCUI:244486', 'UMLS:C0784758', 'RXCUI:245258', 'UMLS:C0785929', 'RXCUI:249596', 'UMLS:C0791413', 'RXCUI:250861', 'UMLS:C0792821', 'RXCUI:261566', 'UMLS:C0876079', 'RXCUI:308709', 'UMLS:C0974942', 'RXCUI:308713', 'UMLS:C0974946', 'RXCUI:308718', 'UMLS:C0974951', 'RXCUI:315476', 'UMLS:C0984118', 'RXCUI:315477', 'UMLS:C0984119', 'RXCUI:329583', 'UMLS:C1124866', 'RXCUI:329584', 'UMLS:C1124867', 'RXCUI:330632', 'UMLS:C1126345', 'RXCUI:330662', 'UMLS:C1126381', 'RXCUI:331514', 'UMLS:C1127484', 'RXCUI:332617', 'UMLS:C1128905', 'RXCUI:340091', 'UMLS:C1140364', 'RXCUI:340130', 'UMLS:C1140417', 'RXCUI:350715', 'UMLS:C1166498', 'RXCUI:351894', 'UMLS:C1169501', 'RXCUI:358481', 'UMLS:C1176605', 'RXCUI:358827', 'UMLS:C1176972', 'RXCUI:362212', 'UMLS:C1236124', 'RXCUI:365600', 'UMLS:C2340847', 'RXCUI:365805', 'UMLS:C1239767', 'RXCUI:371049', 'UMLS:C1245086', 'RXCUI:371053', 'UMLS:C1245090', 'RXCUI:371056', 'UMLS:C1245093', 'RXCUI:371057', 'UMLS:C1245094', 'RXCUI:374614', 'UMLS:C1248701', 'RXCUI:376457', 'UMLS:C1250640', 'RXCUI:377311', 'UMLS:C1251533', 'RXCUI:377613', 'UMLS:C1251845', 'RXCUI:377614', 'UMLS:C1251846', 'RXCUI:377967', 'UMLS:C1252204', 'RXCUI:378340', 'UMLS:C1252631', 'RXCUI:379265', 'UMLS:C1253660', 'RXCUI:384499', 'UMLS:C1260502', 'RXCUI:384500', 'UMLS:C1260503', 'RXCUI:573427', 'UMLS:C1607618', 'RXCUI:573460', 'UMLS:C1607651', 'RXCUI:573461', 'UMLS:C1607652', 'RXCUI:578804', 'UMLS:C2341225', 'RXCUI:670084', 'UMLS:C1813531', 'RXCUI:848176', 'UMLS:C2684032', 'RXCUI:848178', 'UMLS:C2684034', 'RXCUI:848180', 'UMLS:C2684036', 'RXCUI:848195', 'UMLS:C0716676', 'RXCUI:848200', 'UMLS:C0716695', 'RXCUI:848208', 'UMLS:C2684049', 'RXCUI:882515', 'UMLS:C2725913', 'RXCUI:895256', 'UMLS:C2731415', 'RXCUI:895257', 'UMLS:C1298364', 'RXCUI:1153796', 'UMLS:C3208274', 'RXCUI:1153798', 'UMLS:C3208276', 'RXCUI:1153799', 'UMLS:C3208277', 'RXCUI:1153800', 'UMLS:C0360542', 'RXCUI:1153801', 'UMLS:C5191583', 'RXCUI:1153802', 'UMLS:C3208279', 'RXCUI:1153804', 'UMLS:C0358518', 'RXCUI:1166205', 'UMLS:C3220438', 'RXCUI:1171682', 'UMLS:C3225750', 'RXCUI:1172479', 'UMLS:C3226535', 'RXCUI:1182068', 'UMLS:C3235903', 'RXCUI:1244633', 'UMLS:C3265270', 'RXCUI:1244634', 'UMLS:C3265271', 'RXCUI:1244635', 'UMLS:C3265272', 'RXCUI:1244636', 'UMLS:C0875592', 'RXCUI:1295250', 'UMLS:C3465914', 'RXCUI:1660745', 'UMLS:C4018901', 'RXCUI:1660746', 'UMLS:C4046849', 'RXCUI:1660747', 'UMLS:C4046942', 'RXCUI:1660748', 'UMLS:C4047016', 'RXCUI:1660749', 'UMLS:C4047077', 'RXCUI:1660750', 'UMLS:C4046586', 'RXCUI:1716092', 'UMLS:C4056733', 'RXCUI:1738536', 'UMLS:C4081344', 'RXCUI:1738537', 'UMLS:C4081345', 'RXCUI:1738538', 'UMLS:C4081346', 'RXCUI:1738539', 'UMLS:C4081347', 'RXCUI:1738540', 'UMLS:C4081348', 'RXCUI:1738541', 'UMLS:C4081349', 'RXCUI:1856383', 'UMLS:C4293475', 'RXCUI:1856386', 'UMLS:C4293474', 'RXCUI:2471871', 'UMLS:C5433154', 'RXCUI:2471872', 'UMLS:C5433175', 'RXCUI:2471874', 'UMLS:C5433064', 'RXCUI:2471875', 'UMLS:C5433089', 'RXCUI:2471876', 'UMLS:C5433113', 'RXCUI:2471877', 'UMLS:C5433129', 'RXCUI:2646132', 'UMLS:C5835189', 'RXCUI:2646228', 'UMLS:C5835266', 'RXCUI:2646254', 'UMLS:C5835287', 'RXCUI:2648578', 'UMLS:C5837220', 'RXCUI:2648726', 'UMLS:C5837333', 'RXCUI:2654822', 'UMLS:C5838687', 'RXCUI:2656376', 'UMLS:C5840235', 'RXCUI:2658397', 'UMLS:C5842249', 'RXCUI:2659633', 'UMLS:C5843442', 'RXCUI:2660089', 'UMLS:C5843897', 'RXCUI:2661635', 'UMLS:C5845440', 'RXCUI:2662991', 'UMLS:C5846795', 'RXCUI:2703101', 'RXCUI:2703104', 'RXCUI:2703106', 'RXCUI:2703107', 'RXCUI:2703108', 'RXCUI:2703109', 'RXCUI:2703110', 'RXCUI:2703111', 'RXCUI:2703112', 'RXCUI:2703113', 'UMLS:C0718926', 'RXCUI:215664']"
AMMI Large Furumarin fruits,,NCBITaxon:48025,Ammi,Drug 1: AMMI Large Furumarin fruits; Drug 2: Ammi,True,UNII:59C7HJU797,True,UNII:59C7HJU797,AMMI MAJUS SEED,"['UNII:59C7HJU797', 'MESH:C000714808', 'UMLS:C5564973']"
Abakavir+Lamivudin,,CHEBI:63577,Lamivudine,Drug 1: Abakavir+Lamivudin; Drug 2: Lamivudine,False,RXCUI:2003246,True,RXCUI:2003246,lamivudine / tenofovir disoproxil Oral Product,"['RXCUI:2003246', 'UMLS:C4689233', 'RXCUI:2663423', 'UMLS:C5847225']"
Abakavir+Lamivudin+Zidovudin,,CHEBI:10110,Zidovudine,Drug 1: Abakavir+Lamivudin+Zidovudin; Drug 2: Zidovudine,False,RXCUI:285028,True,RXCUI:285028,abacavir 300 MG / lamivudine 150 MG / zidovudine 300 MG Oral Tablet [Trizivir],"['RXCUI:285028', 'UMLS:C0939661', 'RXCUI:307650', 'UMLS:C0973731']"
