id	category	name	description	xref	provided_by	synonym	deprecated	iri	same_as	subsets
http://identifiers.org/hgnc/10001	biolink:OntologyClass	RGS5			mondo.json			http://identifiers.org/hgnc/10001		
http://identifiers.org/hgnc/10004	biolink:OntologyClass	RGS9			mondo.json			http://identifiers.org/hgnc/10004		
http://identifiers.org/hgnc/10006	biolink:OntologyClass	RHAG			mondo.json			http://identifiers.org/hgnc/10006		
http://identifiers.org/hgnc/10012	biolink:OntologyClass	RHO			mondo.json			http://identifiers.org/hgnc/10012		
http://identifiers.org/hgnc/10013	biolink:OntologyClass	GRK1			mondo.json			http://identifiers.org/hgnc/10013		
http://identifiers.org/hgnc/10023	biolink:OntologyClass	RIT1			mondo.json			http://identifiers.org/hgnc/10023		
http://identifiers.org/hgnc/10024	biolink:OntologyClass	RLBP1			mondo.json			http://identifiers.org/hgnc/10024		
http://identifiers.org/hgnc/10031	biolink:OntologyClass	RMRP			mondo.json			http://identifiers.org/hgnc/10031		
http://identifiers.org/hgnc/10050	biolink:OntologyClass	RNASEL			mondo.json			http://identifiers.org/hgnc/10050		
http://identifiers.org/hgnc/10057	biolink:OntologyClass	RNF13			mondo.json			http://identifiers.org/hgnc/10057		
http://identifiers.org/hgnc/10069	biolink:OntologyClass	RNF6			mondo.json			http://identifiers.org/hgnc/10069		
http://identifiers.org/hgnc/1012	biolink:OntologyClass	OPN1SW			mondo.json			http://identifiers.org/hgnc/1012		
http://identifiers.org/hgnc/1014	biolink:OntologyClass	BCR			mondo.json			http://identifiers.org/hgnc/1014		
http://identifiers.org/hgnc/1020	biolink:OntologyClass	BCS1L			mondo.json			http://identifiers.org/hgnc/1020		
http://identifiers.org/hgnc/10250	biolink:OntologyClass	ROBO2			mondo.json			http://identifiers.org/hgnc/10250		
http://identifiers.org/hgnc/10254	biolink:OntologyClass	ROM1			mondo.json			http://identifiers.org/hgnc/10254		
http://identifiers.org/hgnc/10257	biolink:OntologyClass	ROR2			mondo.json			http://identifiers.org/hgnc/10257		
http://identifiers.org/hgnc/10260	biolink:OntologyClass	RORC			mondo.json			http://identifiers.org/hgnc/10260		
http://identifiers.org/hgnc/10263	biolink:OntologyClass	RP1			mondo.json			http://identifiers.org/hgnc/10263		
http://identifiers.org/hgnc/10274	biolink:OntologyClass	RP2			mondo.json			http://identifiers.org/hgnc/10274		
http://identifiers.org/hgnc/10288	biolink:OntologyClass	RP9			mondo.json			http://identifiers.org/hgnc/10288		
http://identifiers.org/hgnc/10294	biolink:OntologyClass	RPE65			mondo.json			http://identifiers.org/hgnc/10294		
http://identifiers.org/hgnc/10295	biolink:OntologyClass	RPGR			mondo.json			http://identifiers.org/hgnc/10295		
http://identifiers.org/hgnc/10297	biolink:OntologyClass	RPIA			mondo.json			http://identifiers.org/hgnc/10297		
http://identifiers.org/hgnc/10298	biolink:OntologyClass	RPL10			mondo.json			http://identifiers.org/hgnc/10298		
http://identifiers.org/hgnc/103	biolink:OntologyClass	CNNM2			mondo.json			http://identifiers.org/hgnc/103		
http://identifiers.org/hgnc/10301	biolink:OntologyClass	RPL11			mondo.json			http://identifiers.org/hgnc/10301		
http://identifiers.org/hgnc/10306	biolink:OntologyClass	RPL15			mondo.json			http://identifiers.org/hgnc/10306		
http://identifiers.org/hgnc/10313	biolink:OntologyClass	RPL21			mondo.json			http://identifiers.org/hgnc/10313		
http://identifiers.org/hgnc/10327	biolink:OntologyClass	RPL26			mondo.json			http://identifiers.org/hgnc/10327		
http://identifiers.org/hgnc/1033	biolink:OntologyClass	BDNF			mondo.json			http://identifiers.org/hgnc/1033		
http://identifiers.org/hgnc/10345	biolink:OntologyClass	RPL35A			mondo.json			http://identifiers.org/hgnc/10345		
http://identifiers.org/hgnc/10360	biolink:OntologyClass	RPL5			mondo.json			http://identifiers.org/hgnc/10360		
http://identifiers.org/hgnc/1037	biolink:OntologyClass	CFB			mondo.json			http://identifiers.org/hgnc/1037		
http://identifiers.org/hgnc/10379	biolink:OntologyClass	MRPL3			mondo.json			http://identifiers.org/hgnc/10379		
