source,target
CHEBI:50729,MONDO:0018874
RXCUI:2611258,MONDO:0002009
CHEBI:63620,MONDO:0005180
CHEBI:16469,MONDO:0010706
CHEBI:27902,MONDO:0005119
CHEBI:30769,MONDO:0005300
CHEBI:31617,MONDO:0002108
CHEBI:231614,MONDO:0005112
CHEBI:9328,MONDO:0005136
UNII:513P80B4YJ,MONDO:0020333
RXCUI:379014,MONDO:0004872
CHEBI:16199,HP:0012710
CHEBI:231614,MONDO:0006292
PUBCHEM.COMPOUND:163203584,MONDO:0018754
UNII:GE2T1418SV,MONDO:0011751
RXCUI:310870,MONDO:0002406
RXCUI:1151608,MONDO:0005044
PUBCHEM.COMPOUND:78759283,HP:0002018
CHEBI:161680,MONDO:0024355
UNII:XZA0KB1BDQ,MONDO:0019623
CHEBI:229217,MONDO:0005031
CHEBI:9599,MONDO:0005338
CHEBI:8378,MONDO:0004095
RXCUI:1151145,MONDO:0008383
CHEBI:6888,MONDO:0004674
CHEBI:16914,UMLS:C0856543
CHEBI:75283,MONDO:0005446
MESH:C000629636,MONDO:0005148
CHEBI:8888,MONDO:0005391
CHEBI:4317,MONDO:0006497
CHEBI:7443,MONDO:0008383
CHEBI:209807,UMLS:C0851989
CHEBI:8499,HP:0006682
CHEBI:47381,MONDO:0001126
CHEBI:18208,MONDO:0005229
CHEBI:2691,HP:0001681
CHEBI:50845,MONDO:0017767
CHEBI:50275,UMLS:C0341164
CHEBI:44423,MONDO:0009891
CHEBI:3223,MONDO:0005618
RXCUI:1597375,UMLS:C4049395
UNII:D6OMY2L0WA,MONDO:0000901
CHEBI:29103,MONDO:0012692
CHEBI:40303,HP:0003124
CHEBI:39867,MONDO:0006710
PUBCHEM.COMPOUND:9831783,HP:0100660
CHEBI:50845,MONDO:0016595
UNII:CI0NE7C96T,UMLS:C1142276
CHEBI:68478,MONDO:0024503
PUBCHEM.COMPOUND:56841571,MONDO:0006875
CHEBI:3207,MONDO:0005101
CHEBI:48131,MONDO:0006604
CHEBI:3746,UMLS:C0600123
CHEBI:600520,MONDO:0002026
CHEBI:8499,MONDO:0004981
PUBCHEM.COMPOUND:21966304,UMLS:C0746883
