source	target
UMLS:C0450442	MONDO:0005429
CHEBI:8711	MONDO:0005429
CHEBI:59826	HP:0100608
UMLS:C0243192	MONDO:0000088
PUBCHEM.COMPOUND:36523	MONDO:0000088
MESH:D006062	MONDO:0000088
CHEBI:50742	MONDO:0000088
CHEBI:9460	MONDO:0000088
CHEBI:6715	MONDO:0000088
CHEBI:46345	UMLS:C1271404
PUBCHEM.COMPOUND:23686432	UMLS:C0038663
UMLS:C0003289	UMLS:C0038663
CHEBI:4463	MONDO:0017364
CHEBI:28876	MONDO:0017364
CHEBI:63791	MONDO:0017364
CHEBI:74947	MONDO:0017364
UMLS:C0003289	UMLS:C0563664
CHEBI:61115	MONDO:0007739
UMLS:C1611640	MONDO:0007739
CHEBI:7735	MONDO:0007739
CHEBI:50694	MONDO:0007739
CHEBI:8863	MONDO:0007739
UMLS:C0040615	MONDO:0007739
CHEBI:64028	MONDO:0007739
MESH:D000305	MONDO:0004769
CHEBI:7726	MONDO:0008829
CHEBI:100147	MONDO:0019345
CHEBI:100241	MONDO:0019345
CHEBI:29007	MONDO:0019345
CHEBI:28971	MONDO:0019345
UMLS:C1136254	MONDO:0019345
UMLS:C0041044	MONDO:0019345
CHEBI:2955	MONDO:0019345
UMLS:C0003232	MONDO:0019345
CHEBI:45783	MONDO:0011934
CHEBI:6076	MONDO:0005672
CHEBI:2682	MONDO:0005672
CHEBI:10023	MONDO:0005672
CHEBI:47518	MONDO:0005672
CHEBI:4911	MONDO:0018944
CHEBI:44185	MONDO:0018944
CHEBI:15640	MONDO:0018944
CHEBI:27666	MONDO:0018944
UNII:20ED16GHEB	MONDO:0018944
UMLS:C0116757	MONDO:0018815
UMLS:C0037766	HP:0002027
CHEBI:35480	HP:0002027
CHEBI:16118	HP:0000855
UMLS:C0003015	HP:0000855
UMLS:C0243192	HP:0000855
CHEBI:16494	HP:0000855
CHEBI:28125	HP:0000855
CHEBI:4806	HP:0000855
UMLS:C0935929	HP:0000855
CHEBI:63580	HP:0000855
CHEBI:5001	HP:0000855
UMLS:C0003402	HP:0000855
CHEBI:24261	HP:0000855
CHEBI:17268	HP:0000855
CHEBI:50992	HP:0000855
UMLS:C0020616	HP:0000855
UMLS:C0450442	HP:0000855
CHEBI:7465	MONDO:0008218
UMLS:C0003232	UMLS:C0264222
PUBCHEM.COMPOUND:24083	MONDO:0001641
UMLS:C0242402	HP:0003419
UMLS:C0003211	HP:0003419
CHEBI:35480	HP:0003419
UMLS:C0358430	HP:0003419
CHEBI:46195	HP:0003419
CHEBI:5118	MONDO:0005582
CHEBI:9123	MONDO:0005582
CHEBI:63631	MONDO:0005582
UMLS:C0003289	MONDO:0005582
CHEBI:5000	MONDO:0005582
UMLS:C0162758	MONDO:0005582
UMLS:C0003211	HP:0100607
UMLS:C0009871	HP:0100607
CHEBI:35480	HP:0100607
CHEBI:7476	HP:0100607
CHEBI:6717	HP:0100607
UMLS:C0009905	HP:0100607
PUBCHEM.COMPOUND:16143379	MONDO:0010030
CHEBI:77032	MONDO:0010030
CHEBI:5801	MONDO:0010030
CHEBI:8207	MONDO:0010030
CHEBI:3568	MONDO:0010030
UNII:4F4X42SYQ6	MONDO:0010030
CHEBI:15882	HP:0012710
CHEBI:4672	UMLS:C0278493
PUBCHEM.COMPOUND:132508503	UMLS:C0278493
CHEBI:4027	UMLS:C0278493
CHEBI:41774	UMLS:C0278493
UNII:4F4X42SYQ6	MONDO:0600023
CHEBI:4551	UMLS:C0080203
UMLS:C0003195	UMLS:C0080203
CHEBI:2663	UMLS:C0080203
CHEBI:6904	UMLS:C0080203
CHEBI:8499	UMLS:C0080203
CHEBI:4856	UMLS:C0080203
CHEBI:75984	UMLS:C0080203
CHEBI:135809	UMLS:C0080203
CHEBI:77733	UMLS:C0080203
CHEBI:101278	UMLS:C0080203
UMLS:C0001645	UMLS:C0080203
CHEBI:63622	UMLS:C0080203
UMLS:C0003015	MONDO:0044875
CHEBI:8228	MONDO:0044875
CHEBI:16494	MONDO:0044875
CHEBI:40279	MONDO:0044875
CHEBI:9434	MONDO:0044875
CHEBI:31401	MONDO:0044875
CHEBI:22652	MONDO:0044875
CHEBI:87631	MONDO:0044875
CHEBI:9241	MONDO:0044875
CHEBI:6801	MONDO:0044875
CHEBI:9139	MONDO:0044875
CHEBI:27470	MONDO:0044875
CHEBI:59560	MONDO:0044875
UMLS:C0450442	MONDO:0044875
CHEBI:9150	MONDO:0044875
PUBCHEM.COMPOUND:71306834	UMLS:C0023474
UMLS:C1268567	UMLS:C0023474
CHEBI:45783	UMLS:C0023474
CHEBI:75283	MONDO:0005629
CHEBI:3614	MONDO:0005629
PUBCHEM.COMPOUND:54671203	MONDO:0006956
CHEBI:63599	UMLS:C0079747
UNII:4F4X42SYQ6	UMLS:C0079747
CHEBI:3139	MONDO:0006500
PUBCHEM.COMPOUND:71306834	MONDO:0006500
CHEBI:75275	MONDO:0006500
UMLS:C0001645	MONDO:0006500
CHEBI:6933	HP:0001541
CHEBI:47426	HP:0001541
MESH:D000681	HP:0001541
CHEBI:9241	HP:0001541
PUBCHEM.COMPOUND:5460033	HP:0001541
CHEBI:7726	HP:0001541
UMLS:C0002007	HP:0001541
CHEBI:45863	HP:0001541
UMLS:C0001645	HP:0001541
PUBCHEM.COMPOUND:134664	MONDO:0005485
PUBCHEM.COMPOUND:23686432	MONDO:0005485
CHEBI:5613	MONDO:0005485
CHEBI:8028	MONDO:0005485
UMLS:C1276996	MONDO:0005485
CHEBI:8707	MONDO:0005485
UMLS:C0033978	MONDO:0005485
CHEBI:5123	MONDO:0005485
CHEBI:7735	MONDO:0005485
CHEBI:8212	MONDO:0005485
UMLS:C0242702	MONDO:0005485
CHEBI:3647	MONDO:0005485
CHEBI:37931	MONDO:0005485
CHEBI:10119	MONDO:0005485
CHEBI:133017	MONDO:0005485
CHEBI:3387	MONDO:0005485
UMLS:C0450442	MONDO:0005485
CHEBI:9566	MONDO:0005485
CHEBI:45951	MONDO:0005485
CHEBI:31236	MONDO:0005485
CHEBI:64045	MONDO:0005485
CHEBI:3962	MONDO:0005101
CHEBI:16118	MONDO:0005101
PUBCHEM.COMPOUND:54585	MONDO:0005101
UNII:91X1KLU43E	MONDO:0005101
CHEBI:8378	MONDO:0005101
CHEBI:59773	MONDO:0005101
UMLS:C0003209	MONDO:0005101
UMLS:C1562036	MONDO:0005101
CHEBI:27300	MONDO:0005101
MESH:D007136	MONDO:0005101
CHEBI:2981	MONDO:0005101
CHEBI:26596	MONDO:0005101
UMLS:C1611640	MONDO:0005101
UNII:FU77B4U5Z0	MONDO:0005101
CHEBI:9555	MONDO:0005101
CHEBI:9334	MONDO:0005101
UMLS:C3854325	MONDO:0005101
UMLS:C0005525	MONDO:0005101
CHEBI:71200	MONDO:0005101
CHEBI:18154	MONDO:0005101
UMLS:C1171350	MONDO:0005101
CHEBI:35341	MONDO:0005101
