drug,disease
CHEBI:6919,EFO:1001421
CHEBI:27732,HP:0001257
CHEBI:3510,UMLS:C0276027
UNII:I60W9520VV,UMLS:C0472713
UNII:G6UF363ECX,MONDO:0850353
CHEBI:46345,MONDO:0021063
CHEBI:5108,MONDO:0000736
CHEBI:134714,MONDO:0005252
CHEBI:32184,MONDO:0005083
CHEBI:134893,MONDO:0005709
CHEBI:5296,MONDO:0005010
CHEBI:94392,MONDO:0005921
CHEBI:3478,UMLS:C0339932
CHEBI:8357,NCIT:C50743
CHEBI:231344,UMLS:C4708088
CHEBI:161680,UMLS:C0276089
UNII:538316W9ZU,UMLS:C0034606
CHEBI:8412,MONDO:0016532
CHEBI:9332,UMLS:C0729586
PUBCHEM.COMPOUND:4786,MONDO:0011122
CHEBI:135702,MONDO:0005233
CHEBI:70718,MONDO:0041879
CHEBI:16714,MONDO:0003014
CHEBI:31248,MONDO:0005252
CHEBI:145371,MONDO:0005191
CHEBI:3697,UMLS:C1320183
CHEBI:32223,MONDO:0008159
CHEBI:34764,MONDO:0015758
CHEBI:16842,MONDO:0005812
CHEBI:3638,MONDO:0005920
CHEBI:83766,MONDO:0850353
CHEBI:45409,MONDO:0005109
CHEBI:6520,MONDO:0001657
CHEBI:31199,MONDO:0006554
CHEBI:135769,MONDO:0005090
CHEBI:22907,MONDO:0002898
UNII:4EQZ6YO2HI,MONDO:0008159
CHEBI:68478,MONDO:0010029
UNII:O43472U9X8,MONDO:0018906
CHEBI:2682,MONDO:0005657
CHEBI:9587,MONDO:0004652
CHEBI:28939,MONDO:0003781
CHEBI:18208,MONDO:0000744
CHEBI:2968,UMLS:C0276026
PUBCHEM.COMPOUND:6321415,MONDO:0005970
CHEBI:7789,MONDO:0021095
CHEBI:5109,MONDO:0006554
CHEBI:3077,UMLS:C2894027
CHEBI:50694,MONDO:0019359
CHEBI:7551,MONDO:0005044
CHEBI:8382,MONDO:0001875
CHEBI:194135,MONDO:0005619
CHEBI:29081,HP:0031417
CHEBI:135990,MONDO:0002009
CHEBI:3048,MONDO:0021095
CHEBI:43755,MONDO:0005252
CHEBI:17630,MONDO:0004789
CHEMBL.COMPOUND:CHEMBL3084722,HP:0031417
CHEBI:63612,MONDO:0002334
CHEBI:135772,MONDO:0019633
CHEBI:91985,HP:0001681
CHEBI:27446,MONDO:0004842
