category_class	label	harrisons_view	mondo_txgnn	mondo_top_grouping	medical_specialization	txgnn	anatomical	is_pathogen_caused	is_cancer	is_glucose_dysfunction	tag_existing_treatment	tag_qaly_lost
MONDO:0000004	adrenocortical insufficiency	endocrine_system_disorder	endocrine_system_disorder	endocrine_system_disorder	endocrinology	adrenal_gland_disease|metabolic_disorder	blood_bone_marrow_disorder|endocrine_disorder	false	false	false	true	high
MONDO:0000005	alopecia, isolated	integumentary_system_disorder|hereditary_disease	other	integumentary_system_disorder|hereditary_disease	genetics_and_genomics|dermatology	inflammatory_disease|autoimmune_diseases	immune_disorder|skin_disorder	false	false	false	true	low
MONDO:0000009	inherited bleeding disorder, platelet-type	hematologic_disorder|hereditary_disease	other	hereditary_disease|hematologic_disorder	genetics_and_genomics|hematology	inherited_bleeding_disorders_often_fall_under_more_specific_categories_but_the_closest_is_anemia_as_it_s_a_disorder_related_to_blood_components|metabolic_disorder|anemia	blood_bone_marrow_disorder|vascular_disorder	false	false	false	true	high
MONDO:0000014	colorblindness, partial	psychiatric_disorder|disorder_of_visual_system|nervous_system_disorder	psychiatric_disorder	psychiatric_disorder|nervous_system_disorder|disorder_of_visual_system	genetics_and_genomics|neurology	neurodegenerative_disease|autoimmune_diseases	brain_disorder|eye_disorder	false	false	false	false	medium
MONDO:0000015	classic complement early component deficiency	hereditary_disease|immune_system_disorder	other	hereditary_disease|immune_system_disorder	genetics_and_genomics|allergy_and_immunology|immunology|hematology	inflammatory_disease|autoimmune_diseases	immune_disorder|blood_bone_marrow_disorder	false	false	false	false	high
MONDO:0000022	nocturnal enuresis	psychiatric_disorder	psychiatric_disorder	psychiatric_disorder	neurology|urology	metabolic_disorder|neurodegenerative_disease|mental_health_disorder	kidney_disorder|urinary_tract_disorder	false	false	false	true	low
MONDO:0000023	infantile liver failure	endocrine_system_disorder|hereditary_disease|digestive_system_disorder	endocrine_system_disorder	digestive_system_disorder|hereditary_disease|endocrine_system_disorder	gastroenterology|hepatology|pediatric	metabolic_disorder|neonatal_disorders	biliary_disorder|liver_disorder	true	false	false	true	very_high
MONDO:0000030	familial sleep-related hypermotor epilepsy	hereditary_disease|nervous_system_disorder	other	nervous_system_disorder|hereditary_disease	neurology|pediatric	neurodegenerative_disease|mental_health_disorder|inflammatory_disease	brain_disorder|spinal_disorder|muscle_disorder	false	false	false	false	high
MONDO:0000032	febrile seizures, familial	hereditary_disease	other	hereditary_disease	neurology|pediatric|genetics_and_genomics	neurodegenerative_disease|metabolic_disorder	brain_disorder|vascular_disorder	false	false	false	true	low
MONDO:0000044	hereditary hypophosphatemic rickets	musculoskeletal_system_disorder|hereditary_disease	other	musculoskeletal_system_disorder|hereditary_disease	genetics_and_genomics|endocrinology|pediatric|orthopaedic	metabolic_disorder|hereditary_disease	endocrine_disorder|kidney_disorder|bone_disorder	false	false	false	true	medium
MONDO:0000045	hypothyroidism, congenital, nongoitrous	endocrine_system_disorder|hereditary_disease	endocrine_system_disorder	hereditary_disease|endocrine_system_disorder	genetics_and_genomics|endocrinology|pediatric	metabolic_disorder|autoimmune_diseases	endocrine_disorder|congenital_disorder|thyroid_disorder	false	false	false	true	medium
MONDO:0000050	isolated congenital growth hormone deficiency	endocrine_system_disorder|hereditary_disease|reproductive_system_disorder|nervous_system_disorder	endocrine_system_disorder	reproductive_system_disorder|nervous_system_disorder|hereditary_disease|endocrine_system_disorder	endocrinology|pediatric	congenital_growth_hormone_deficiency|metabolic_disorder	reproductive_system_disorder|endocrine_disorder	false	false	false	true	high
MONDO:0000060	microcephalic osteodysplastic primordial dwarfism	disorder_of_development_or_morphogenesis|nervous_system_disorder	other	disorder_of_development_or_morphogenesis|nervous_system_disorder	orthopaedic|pediatric|endocrinology|genetics_and_genomics	genetic_disorder|metabolic_disorder	skeletal_system_disorder|bone_disorder|lower_body_disorder	false	false	false	false	high
