category_class	label	definition	synonyms	subsets	crossreferences
MONDO:0004759	zoophilia		zoophilia; bestiality	mondo:paraphilic; mondo:is_cancer_member; mondo:tag_existing_treatment_member; mondo:anatomical_mental_health_disorder; mondo:is_glucose_dysfunction_false; mondo:mondo_top_grouping_psychiatric_disorder; mondo:tag_qualy_lost_other; mondo:mondo_top_grouping_member; mondo:harrisons_view_member; mondo:txgnn_neurodegenerative_disease; mondo:anatomical_reproductive_system_disorder; mondo:anatomical_member; mondo:tag_qaly_lost_none; mondo:matrix_excluded; mondo:txgnn_mental_health_disorder; mondo:harrisons_view_psychiatric_disorder; mondo:is_pathogen_caused_false; mondo:is_glucose_dysfunction_member; mondo:medical_specialization_psychiatry; mondo:mondo_txgnn_member; mondo:medical_specialization_member; mondo:tag_existing_treatment_false; mondo:mondo_txgnn_psychiatric_disorder; mondo:tag_qaly_lost_member; mondo:medical_specialization_psychology; mondo:mondo_top_grouping_nervous_system_disorder; mondo:anatomical_neurological_disorder; mondo:txgnn_member; mondo:is_cancer_false; mondo:is_pathogen_caused_member; mondo:harrisons_view_nervous_system_disorder	MEDGEN:508916; SCTID:81463002; DOID:9336; UMLS:C0152186; ICD9:302.1
MONDO:0016739	yolk sac tumor of central nervous system	A malignant germ cell tumor of the central nervous system composed of primitive-appearing epithelial cells - putatively representing yolk sac endoderm - set in a loose, variably cellular, and often conspicuously myxoid matrix, resembling extra-embryonic mesoblast. Eosinophilic hyaline globules immunoreactive for AFP are a diagnostic feature. (WHO)	yolk Sac tumor of the CNS; yolk Sac tumor of the central nervous system; intracranial endodermal sinus tumour; intracranial endodermal sinus tumor; yolk Sac tumour of CNS; endodermal sinus tumour of central nervous system; intracranial yolk sac tumor; yolk Sac tumour of the central nervous system; yolk Sac tumour of the CNS; yolk Sac tumor of CNS; endodermal sinus tumor of central nervous system; intracranial yolk sac tumour; yolk Sac tumor of central nervous system; central nervous system yolk Sac tumor; central nervous system yolk Sac tumour; yolk sac tumor of CNS; yolk sac tumour of CNS; endodermal sinus tumor of CNS; CNS yolk Sac tumour; endodermal sinus tumour of CNS; yolk Sac tumour of central nervous system; CNS yolk Sac tumor	mondo:tag_qaly_lost_high; mondo:txgnn_other; mondo:anatomical_brain_disorder; mondo:anatomical_member; mondo:nord_rare; mondo:medical_specialization_oncology; mondo:is_glucose_dysfunction_false; mondo:is_pathogen_caused_member; mondo:mondo_txgnn_member; mondo:anatomical_spinal_disorder; mondo:tag_existing_treatment_false; mondo:is_pathogen_caused_false; mondo:txgnn_cancer; mondo:is_glucose_dysfunction_member; mondo:gard_rare; mondo:ordo_subtype_of_a_disorder; mondo:medical_specialization_member; mondo:is_cancer_member; mondo:tag_existing_treatment_member; mondo:tag_qualy_lost_other; mondo:rare; mondo:is_cancer_true; mondo:mondo_txgnn_cancer_or_benign_tumor; mondo:medical_specialization_neurology; mondo:tag_qaly_lost_member; mondo:txgnn_member; mondo:mondo_top_grouping_cancer_or_benign_tumor; mondo:harrisons_view_cancer_or_benign_tumor; mondo:harrisons_view_member; mondo:mondo_top_grouping_member	GARD:20733; Orphanet:252006; UMLS:C1337040; MEDGEN:234492; NCIT:C7011
MONDO:0006019	yaws	An endemic, infectious, nonvenereal disease in humans that presents mainly in children younger than 15 years. The disease occurs primarily in warm, humid, tropical areas of Africa, Asia, South America, and Oceania, among poor rural populations where conditions of overcrowding and poor sanitation prevail. Infection with Treponema pertenue, a subspecies of Treponema pallidum, causes the disease.	Treponema pallidum subsp. pertenue disease or disorder; polypapilloma tropicum; frambesia; thymosis; frambesia tropica; Treponema pallidum subsp. pertenue infectious disease; frambosie; Bouba; Treponema pallidum subsp. pertenue caused disease or disorder	mondo:mondo_top_grouping_infectious_disease; mondo:txgnn_inflammatory_disease; mondo:is_pathogen_caused_member; mondo:medical_specialization_dermatology; mondo:mondo_txgnn_infectious_disease; mondo:is_pathogen_caused_true; mondo:anatomical_skin_disorder; mondo:harrisons_view_reproductive_system_disorder; mondo:tag_qaly_lost_medium; mondo:anatomical_member; mondo:txgnn_autoimmune_diseases; mondo:is_cancer_false; mondo:mondo_top_grouping_member; mondo:gard_rare; mondo:mondo_txgnn_member; mondo:mondo_top_grouping_reproductive_system_disorder; mondo:txgnn_member; mondo:harrisons_view_member; mondo:tag_qualy_lost_other; mondo:harrisons_view_infectious_disease; mondo:tag_qaly_lost_member; mondo:is_glucose_dysfunction_false; mondo:tag_existing_treatment_true; mondo:medical_specialization_member; mondo:tag_existing_treatment_member; mondo:is_cancer_member; mondo:rare; mondo:is_glucose_dysfunction_member; mondo:medical_specialization_pediatric; mondo:nord_rare; mondo:anatomical_joint_disorder	icd11.foundation:840525023; GARD:7913; NCIT:C41353; NORD:1872; MESH:D015001; ICD9:102; DOID:10371; SCTID:70647001; MEDGEN:12186; ICD9:102.7; ICD9:102.9; UMLS:C0043388; ICD10CM:A66
MONDO:0800412	yakut short stature syndrome			mondo:anatomical_member; mondo:is_cancer_member; mondo:is_glucose_dysfunction_member; mondo:is_cancer_false; mondo:txgnn_member; mondo:medical_specialization_pediatric; mondo:harrisons_view_hereditary_disease; mondo:txgnn_adrenal_gland_disease; mondo:medical_specialization_member; mondo:medical_specialization_endocrinology; mondo:is_pathogen_caused_false; mondo:tag_qualy_lost_other; mondo:txgnn_metabolic_disorder; mondo:anatomical_bone_disorder; mondo:tag_qaly_lost_member; mondo:mondo_top_grouping_hereditary_disease; mondo:medical_specialization_genetics_and_genomics; mondo:harrisons_view_member; mondo:mondo_txgnn_other; mondo:is_pathogen_caused_member; mondo:is_glucose_dysfunction_false; mondo:unclassified_hereditary; mondo:tag_existing_treatment_false; mondo:tag_existing_treatment_member; mondo:mondo_top_grouping_member; mondo:anatomical_endocrine_disorder; mondo:tag_qaly_lost_medium; mondo:matrix_excluded	
MONDO:0010219	xylosidase deficiency		xylosidase deficiency	mondo:mondo_top_grouping_member; mondo:matrix_excluded; mondo:is_pathogen_caused_member; mondo:txgnn_metabolic_disorder; mondo:is_glucose_dysfunction_member; mondo:tag_existing_treatment_member; mondo:anatomical_member; mondo:anatomical_blood_bone_marrow_disorder; mondo:is_cancer_false; mondo:txgnn_neurodegenerative_disease; mondo:is_pathogen_caused_false; mondo:tag_existing_treatment_false; mondo:harrisons_view_member; mondo:anatomical_lysosomal_storage_disease; mondo:tag_qaly_lost_member; mondo:unclassified_hereditary; mondo:mondo_top_grouping_hereditary_disease; mondo:medical_specialization_genetics_and_genomics; mondo:medical_specialization_pediatric; mondo:harrisons_view_hereditary_disease; mondo:anatomical_corrected_answer_without_the_extra_category_blood_bone_marrow_disorder; mondo:anatomical_; mondo:is_cancer_member; mondo:mondo_txgnn_other; mondo:is_glucose_dysfunction_false; mondo:medical_specialization_member; mondo:medical_specialization_medical_genetics; mondo:tag_qualy_lost_other; mondo:txgnn_member; mondo:tag_qaly_lost_low	MESH:C564730; MEDGEN:336338; UMLS:C1848407; OMIM:278900
MONDO:0002615	xanthomatosis	A condition marked by the development of widespread xanthomas, yellow tumor-like structures filled with lipid deposits. Xanthomas can be found in a variety of tissues including the skin; tendons; joints of knees and elbows. Xanthomatosis is associated with disturbance of lipid metabolism and formation of foam cells.	xanthomatosis (disease); xanthelasmatosis; xanthomatosis	mondo:tag_existing_treatment_true; mondo:anatomical_skin_disorder; mondo:otar; mondo:tag_qaly_lost_member; mondo:tag_qualy_lost_other; mondo:txgnn_inflammatory_disease; mondo:rare; mondo:anatomical_member; mondo:anatomical_lipid_disorder; mondo:medical_specialization_dermatology; mondo:mondo_txgnn_metabolic_disease; mondo:mondo_top_grouping_member; mondo:medical_specialization_member; mondo:is_glucose_dysfunction_member; mondo:is_pathogen_caused_member; mondo:txgnn_member; mondo:is_cancer_member; mondo:mondo_top_grouping_hereditary_disease; mondo:gard_rare; mondo:mondo_top_grouping_metabolic_disease; mondo:harrisons_view_member; mondo:harrisons_view_hereditary_disease; mondo:tag_existing_treatment_member; mondo:is_cancer_false; mondo:tag_qaly_lost_medium; mondo:is_glucose_dysfunction_false; mondo:harrisons_view_metabolic_disease; mondo:txgnn_autoimmune_diseases; mondo:mondo_txgnn_member; mondo:txgnn_metabolic_disorder; mondo:anatomical_liver_disorder; mondo:medical_specialization_genetics_and_genomics; mondo:is_pathogen_caused_false	MEDGEN:21939; UMLS:C0043325; DOID:3345; SCTID:63103006; HP:0000991; MESH:D014973
MONDO:0005236	xanthoma	A non-neoplastic disorder characterized by a localized collection of histiocytes containing lipid. Xanthomas usually occur in the skin and subcutaneous tissues, but occasionally they may involve the deep soft tissues.	xanthoma; xanthoma (disease)	mondo:txgnn_metabolic_disorder; mondo:medical_specialization_member; mondo:anatomical_liver_disorder; mondo:tag_qaly_lost_member; mondo:mondo_txgnn_metabolic_disease; mondo:mondo_txgnn_member; mondo:harrisons_view_member; mondo:anatomical_skin_disorder; mondo:txgnn_inflammatory_disease; mondo:mondo_top_grouping_metabolic_disease; mondo:tag_qualy_lost_other; mondo:is_glucose_dysfunction_member; mondo:is_cancer_false; mondo:is_pathogen_caused_member; mondo:medical_specialization_other___note__xanthoma_is_a_skin_condition_characterized_by_the_deposition_of_yellowish_lipid_material_in_various_parts_of_the_body__making_dermatology_the_primary_category__however__considering_its_relation_to_lipids_and_potential_associations_with_systemic_conditions___other__could_also_be_considered_as_it_may_not_exclusively_fit_into_dermatology_but_has_connections_to_other_medical_specialties_; mondo:tag_existing_treatment_member; mondo:is_glucose_dysfunction_false; mondo:otar; mondo:anatomical_member; mondo:tag_qaly_lost_low; mondo:medical_specialization_dermatology; mondo:tag_existing_treatment_true; mondo:is_cancer_member; mondo:is_pathogen_caused_false; mondo:txgnn_member; mondo:harrisons_view_metabolic_disease; mondo:mondo_top_grouping_member	HP:0001114; MEDGEN:86216; EFO:0003075; NCIT:C4071; UMLS:C0302314
MONDO:0000721	xanthinuria	A metabolic metabolic disorder characterized by excess urinary excretion of the purine base xanthine.		mondo:tag_existing_treatment_false; mondo:is_pathogen_caused_false; mondo:anatomical_urinary_tract_disorder; mondo:harrisons_view_member; mondo:tag_qaly_lost_low; mondo:is_glucose_dysfunction_member; mondo:is_cancer_member; mondo:is_pathogen_caused_member; mondo:txgnn_member; mondo:mondo_top_grouping_metabolic_disease; mondo:medical_specialization_renal_medicine; mondo:mondo_top_grouping_member; mondo:tag_qualy_lost_other; mondo:mondo_txgnn_metabolic_disease; mondo:is_cancer_false; mondo:anatomical_kidney_disorder; mondo:tag_existing_treatment_member; mondo:medical_specialization_genetics_and_genomics; mondo:anatomical_member; mondo:txgnn_metabolic_disorder; mondo:mondo_txgnn_member; mondo:is_glucose_dysfunction_false; mondo:medical_specialization_pediatric; mondo:tag_qaly_lost_member; mondo:txgnn_renal_disease; mondo:otar; mondo:medical_specialization_member; mondo:harrisons_view_metabolic_disease; mondo:mondo_subtype	ICD9:277.2; NANDO:2200588; MEDGEN:450997; icd11.foundation:1565213608; UMLS:C0220988; SCTID:190919008
MONDO:0000599	writing disorder	A learning disability that involves impaired written language ability such as impairments in handwriting, spelling, organization of ideas, and composition.		mondo:medical_specialization_psychiatry; mondo:medical_specialization_neurology; mondo:is_glucose_dysfunction_false; mondo:is_cancer_false; mondo:txgnn_mental_health_disorder; mondo:is_cancer_member; mondo:mondo_top_grouping_nervous_system_disorder; mondo:tag_qaly_lost_medium; mondo:is_glucose_dysfunction_member; mondo:tag_qualy_lost_other; mondo:harrisons_view_psychiatric_disorder; mondo:tag_existing_treatment_false; mondo:harrisons_view_nervous_system_disorder; mondo:txgnn_member; mondo:mondo_txgnn_member; mondo:txgnn_writing_disorder; mondo:anatomical_brain_disorder; mondo:is_pathogen_caused_false; mondo:medical_specialization_member; mondo:mondo_txgnn_psychiatric_disorder; mondo:anatomical_spinal_disorder; mondo:harrisons_view_member; mondo:anatomical_member; mondo:tag_qaly_lost_member; mondo:mondo_top_grouping_member; mondo:tag_existing_treatment_member; mondo:is_pathogen_caused_member; mondo:mondo_top_grouping_psychiatric_disorder	MEDGEN:1843493; UMLS:C0860614; DOID:0060047
MONDO:0010757	widow's peak syndrome		widow's peak syndrome	mondo:is_pathogen_caused_member; mondo:matrix_excluded; mondo:anatomical_brain_disorder_spinal_disorder; mondo:txgnn_member; mondo:is_glucose_dysfunction_false; mondo:mondo_top_grouping_member; mondo:tag_existing_treatment_false; mondo:trait; mondo:anatomical_member; mondo:tag_qualy_lost_other; mondo:clinical_finding; mondo:tag_qaly_lost_member; mondo:harrisons_view_member; mondo:is_glucose_dysfunction_member; mondo:txgnn_autoimmune_diseases; mondo:harrisons_view_hereditary_disease; mondo:medical_specialization_member; mondo:tag_qaly_lost_low; mondo:mondo_txgnn_other; mondo:is_cancer_false; mondo:tag_existing_treatment_member; mondo:mondo_top_grouping_hereditary_disease; mondo:medical_specialization_genetics_and_genomics; mondo:is_pathogen_caused_false; mondo:medical_specialization_neurology; mondo:phenotype; mondo:txgnn_neurodegenerative_disease; mondo:is_cancer_member	UMLS:C1839112; MESH:C564040; OMIM:314570; MEDGEN:374133
